VATTENID	NAMN	LOKALNAMN	DATUM1	NETTYP	NETKOD	NETNR	ZON	NabborB	BabborB	NgäddaB	BgäddaB	NlakeB	BlakeB	NmörtB	BmörtB	Narter	NtotalB	BtotalB	MviktB	AbCyW	pCyp	mlg10Labbo	mlg10Lmört	nPiscAbb-Net	BpiscAbbB-Net	gmLabboB	gmLmörtB	pPiscPerc
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	1	0	34	1612	0	0			18	885	2	52	2497	48.02	1.82	0.35	2.22	2.22	23.70	1385.35	164.62	167.85	0.55
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	2	3	23	1428	0	0			16	833	2	39	2261	57.97	1.71	0.37	2.22	2.19	14.72	1120.84	166.79	155.67	0.50
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	3	0	25	1874	0	0			15	320	2	40	2194	54.85	5.86	0.15	2.28	2.13	21.93	1779.80	189.34	134.22	0.81
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	4	3	10	418	1	436			5	411	3	16	1265	79.06	1.02	0.32	2.21	2.29	6.93	329.16	161.74	196.52	0.26
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	5	0	13	805	1	14			26	935	3	40	1754	43.85	0.86	0.53	2.22	2.15	8.75	760.00	166.38	141.87	0.43
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	6	3	29	1178	0	0			6	451	2	35	1629	46.54	2.61	0.28	2.19	2.30	16.45	898.49	155.71	198.88	0.55
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	7	6	6	301	0	0			1	155	2	7	456	65.14	1.94	0.34	2.24	2.40	4.85	272.91	172.20	254.00	0.60
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	8	6	1	53	0	0			0	0	1	1	53	53.00		0.00	2.25		0.95	51.41	177.00		0.97
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	9	3	16	675	0	0			13	578	2	29	1253	43.21	1.17	0.46	2.18	2.20	7.98	506.28	152.70	158.72	0.40
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	10	0	24	847	1	1322			22	720	3	47	2889	61.47	1.18	0.25	2.15	2.14	10.77	594.25	141.68	137.72	0.21
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	11	0	13	542	0	0			25	546	2	38	1088	28.63	0.99	0.50	2.12	2.08	8.48	487.38	132.67	121.55	0.45
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	12	3	24	833	0	0			4	304	2	28	1137	40.61	2.74	0.27	2.18	2.29	13.10	572.37	152.55	193.56	0.50
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	13	6	8	321	0	0			1	84	2	9	405	45.00	3.82	0.21	2.21	2.32	5.77	248.22	163.09	209.00	0.61
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	14	3	27	1142	0	0			8	398	2	35	1540	44.00	2.87	0.26	2.20	2.20	17.43	946.16	157.31	156.93	0.61
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	15	0	16	1136	0	0			12	1023	2	28	2159	77.11	1.11	0.47	2.25	2.29	12.38	1002.65	179.63	195.80	0.46
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	16	6	6	302	0	0			0	0	1	6	302	50.33		0.00	2.24		5.13	274.41	173.08		0.91
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	17	6	0	0	0	0			0	0	0	0	0										
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	18	6	5	291	0	0			3	274	2	8	565	70.63	1.06	0.48	2.24	2.32	3.65	255.07	174.00	210.07	0.45
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	19	6	2	124	0	0			3	116	2	5	240	48.00	1.07	0.48	2.27	2.18	1.95	128.91	187.21	151.49	0.54
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	20	6	5	225	0	0			0	0	1	5	225	45.00		0.00	2.23		4.18	201.42	170.15		0.90
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	21	3	43	1466	0	0			11	675	2	54	2141	39.65	2.17	0.32	2.17	2.23	22.45	1013.81	148.11	168.24	0.47
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	22	0	28	1074	0	0			10	421	2	38	1495	39.34	2.55	0.28	2.16	2.19	13.97	872.47	143.66	155.98	0.58
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	23	3	36	946	1	535			7	382	3	44	1863	42.34	2.48	0.21	2.12	2.21	13.55	589.61	132.65	161.22	0.32
683673-154083	Stensjön	Hela sjön	19940802	B	Bnord12	24	0	25	1676	0	0			23	512	2	48	2188	45.58	3.27	0.23	2.25	2.10	19.98	1576.24	179.50	126.01	0.72
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	1	6	0	0	0	0			1	123	1	1	123	123.00	0.00	1.00		2.38				238.00	
683673-154083	Stensjön	Hela sjön	19950810	B	Bnord12	2	6	0	0	0	0			1	111	1	1	111	111.00	0.00	1.00		2.36				230.00	
