"Year"	"DepthStratum"	"N"	"n21"	"n18"	"n15"	"n12"
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"0-3m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"3-6m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1994"	"6-12m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"0-3m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"3-6m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1995"	"6-12m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"0-3m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"3-6m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1996"	"6-12m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"0-3m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"3-6m"	8	7	6	5	4
"1997"	"6-12m"	8	7	6	5	4
"1997"	"6-12m"	8	7	6	5	4
"1997"	"6-12m"	8	7	6	5	4
"1997"	"6-12m"	8	7	6	5	4
